Date,NumberOfPassengers
7/23/2021,2159300
7/24/2021,1942871
7/25/2021,2177129
7/26/2021,2124474
7/27/2021,1858328
7/28/2021,1923980
7/29/2021,2127634
7/30/2021,2198585
7/31/2021,2007412
8/1/2021,2238462
8/2/2021,2031758
8/3/2021,1797120
8/4/2021,1855299
8/5/2021,2063720
8/6/2021,2109091
8/7/2021,1925641
8/8/2021,2168264
8/9/2021,2022858
8/10/2021,1727075
8/11/2021,1761348
8/12/2021,2045301
8/13/2021,2065379
8/14/2021,1811767
8/15/2021,2114166
8/16/2021,1980585
8/17/2021,1607238
8/18/2021,1678231
8/19/2021,1945026
8/20/2021,1990608
8/21/2021,1685462
8/22/2021,1965020
8/23/2021,1820355
8/24/2021,1468219
8/25/2021,1539707
8/26/2021,1826310
8/27/2021,1853622
8/28/2021,1511294
8/29/2021,1900658
8/30/2021,1629475
8/31/2021,1345064
9/1/2021,1465197
9/2/2021,1896846
9/3/2021,2129999
9/4/2021,1545955
9/5/2021,1630786
9/6/2021,2025556
9/7/2021,1662932
9/8/2021,1439804
9/9/2021,1685668
9/10/2021,1792979
9/11/2021,1363653
9/12/2021,1966456
9/13/2021,1672895
9/14/2021,1271516
9/15/2021,1455913
9/16/2021,1851345
9/17/2021,1942337
9/18/2021,1476269
9/19/2021,2075468
9/20/2021,1820152
9/21/2021,1338166
9/22/2021,1460478
9/23/2021,1904732
9/24/2021,2019891
9/25/2021,1525438
9/26/2021,2102155
9/27/2021,1849171
9/28/2021,1334997
9/29/2021,1448369
9/30/2021,1934592
10/1/2021,2011794
10/2/2021,1534114
10/3/2021,2100167
10/4/2021,1842054
10/5/2021,1390201
10/6/2021,1563565
10/7/2021,2063090
10/8/2021,2169783
10/9/2021,1645563
10/10/2021,2086146
10/11/2021,2083627
10/12/2021,1695970
10/13/2021,1641419
10/14/2021,2048398
10/15/2021,2070878
10/16/2021,1704466
10/17/2021,2213296
10/18/2021,2001297
10/19/2021,1446353
10/20/2021,1647089
10/21/2021,2046694
10/22/2021,2108582
10/23/2021,1626185
10/24/2021,2107839
10/25/2021,1989373
10/26/2021,1503587
10/27/2021,1547075
10/28/2021,1927041
10/29/2021,1982773
10/30/2021,1518020
10/31/2021,1845965
11/1/2021,1992577
11/2/2021,1487874
11/3/2021,1525948
11/4/2021,1940302
11/5/2021,2035406
11/6/2021,1527465
11/7/2021,2152721
11/8/2021,1955530
11/9/2021,1456657
11/10/2021,1691526
11/11/2021,2064753
11/12/2021,2001439
11/13/2021,1559772
11/14/2021,2150150
11/15/2021,2010601
11/16/2021,1491890
11/17/2021,1624511
11/18/2021,2044545
11/19/2021,2242956
11/20/2021,2004579
11/21/2021,2213716
11/22/2021,2081064
11/23/2021,2207949
11/24/2021,2311978
11/25/2021,1382230
11/26/2021,1778983
11/27/2021,2208192
11/28/2021,2451300
11/29/2021,2237087
11/30/2021,1810460
12/1/2021,1660506
12/2/2021,1866275
12/3/2021,1952294
12/4/2021,1566729
12/5/2021,2068792
12/6/2021,1854048
12/7/2021,1459054
12/8/2021,1610785
12/9/2021,1959937
12/10/2021,2045674
12/11/2021,1669737
12/12/2021,2040364
